#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:76 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:3 misc:413 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:1 mv:2 misc:397 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:36.03 aq:27.06 tex:353 mv:80 misc:471 imb:9 pmb:3 smb:8148 d:- ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:3 misc:413 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:3 misc:397 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:36.03 aq:21.90 tex:966 mv:421 misc:525 imb:105 pmb:9 smb:8046 d:- ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:3 mv:6 misc:423 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:7 misc:393 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:36.03 aq:25.26 tex:28144 mv:1309 misc:1123 imb:258 pmb:90 smb:7812 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:36.03 aq:26.14 tex:590 mv:522 misc:624 imb:40 pmb:59 smb:8061 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:36.03 aq:27.60 tex:57 mv:119 misc:680 imb:3 pmb:115 smb:8042 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:3 mv:47 misc:430 imb:0 pmb:20 smb:8140 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:36.03 aq:25.91 tex:3805 mv:139 misc:848 imb:3 pmb:85 smb:8072 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:10 misc:430 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:36.03 aq:25.74 tex:942 mv:63 misc:563 imb:1 pmb:22 smb:8137 d:- ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:36.03 aq:22.24 tex:639 mv:92 misc:469 imb:5 pmb:9 smb:8146 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:1 mv:7 misc:416 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:5 misc:395 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:36.03 aq:24.00 tex:185 mv:23 misc:480 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:36.03 aq:27.87 tex:125 mv:11 misc:448 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:36.03 aq:27.84 tex:326 mv:15 misc:443 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:8 misc:416 imb:0 pmb:2 smb:8158 d:- ref:0 ;
